"feast_month","feast_date","feast_code","feast_type","added_year","removed_year"
"8","12","Saint Jane Frances de Chantal, religious","OpMem"
"8","13","Saints Pontian, pope, and Hippolytus, priest, martyrs","OpMem"
"8","14","Saint Maximilian Mary Kolbe, priest and martyr","Mem"
"8","15","Assumption of the Blessed Virgin Mary","Solemnity"
"8","16","Saint Stephen of Hungary","OpMem"
"8","19","Saint John Eudes, priest","OpMem"
"8","20","Saint Bernard of Clairvaux, abbot and doctor of the Church","Mem"
"8","21","Saint Pius X, pope","Mem"
"8","22","Queenship of Blessed Virgin Mary","Mem-Mary"
"8","23","Saint Rose of Lima, virgin","OpMem"
"8","24","Saint Bartholomew the Apostle","Feast"
"8","25","Saint Joseph of Calasanz, priest","OpMem"
"8","25","Saint Louis","OpMem"
"8","27","Saint Monica","Mem"
"8","28","Saint Augustine of Hippo, bishop and doctor of the Church","Mem"
"8","29","The Beheading of Saint John the Baptist, martyr","Mem"
"9","3","Saint Gregory the Great, pope and doctor","Mem"
"9","5","Saint Teresa of Calcutta, virgin","OpMem","2025"
"9","8","Birth of the Blessed Virgin Mary","Feast"
"9","9","Saint Peter Claver, priest","OpMem"
"9","12","Holy Name of the Blessed Virgin Mary","OpMem"
"9","13","Saint John Chrysostom, bishop and doctor","Mem"
"9","14","Exaltation of the Holy Cross","Feast-Lord"
"9","15","Our Lady of Sorrows","Mem-Mary"
"9","16","Saints Cornelius, pope, and Cyprian, bishop, martyrs","Mem"
"9","17","Saint Hildegard of Bingen, Virgin and Doctor","OpMem","2021"
"9","17","Saint Robert Bellarmine, bishop and doctor","OpMem"
"9","19","Saint Januarius, bishop and martyr","OpMem"
"9","20","Saint Andrew Kim Taegon, priest, and Paul Chong Hasang and companions, martyrs","Mem"
"9","21","Saint Matthew the Evangelist, Apostle, Evangelist","Feast"
"9","23","Saint Pio of Pietrelcina (Padre Pio), priest","Mem"
"9","26","Saints Cosmas and Damian, martyrs","OpMem"
"9","27","Saint Vincent de Paul, priest","Mem"
"9","28","Saint Wenceslaus, martyr","OpMem"
"9","28","Saints Lawrence Ruiz and companions, martyrs","OpMem"
"9","29","Saints Michael, Gabriel and Raphael, Archangels","Feast"
"9","30","Saint Jerome, priest and doctor","Mem"
"10","1","Saint Thérèse of the Child Jesus, virgin and doctor","Mem"
"10","2","Guardian Angels","Mem"
"10","4","Saint Francis of Assisi","Mem"
"10","5","Saint Maria Faustina Kowalska, virgin","OpMem","2020"
"10","6","Saint Bruno, priest","OpMem"
"10","7","Our Lady of the Rosary","Mem"
"10","9","Saint Denis and companions, martyrs","OpMem"
"10","9","Saint John Leonardi, priest","OpMem"
"10","11","Saint John XXIII, pope","OpMem","2014"
"10","14","Saint Callistus I, pope and martyr","OpMem"
"10","15","Saint Teresa of Jesus, virgin and doctor","Mem"
"10","16","Saint Hedwig, religious","OpMem"
"10","16","Saint Margaret Mary Alacoque, virgin","OpMem"
"10","17","Saint Ignatius of Antioch, bishop and martyr","Mem"
"10","18","Saint Luke the Evangelist","Feast"
"10","19","Saint Paul of the Cross, priest","OpMem"
"10","19","Saints Jean de Brébeuf, Isaac Jogues, priests and martyrs; and their companions, martyrs","OpMem"
"10","22","Saint John Paul II, pope","OpMem","2014"
"10","23","Saint John of Capistrano, priest","OpMem"
"10","24","Saint Anthony Mary Claret, bishop","OpMem"
"10","28","Saint Simon and Saint Jude, apostles","Feast"
"11","1","All Saints","Solemnity"
"11","2","All Souls","Solemnity"
"11","3","Saint Martin de Porres, religious","OpMem"
"11","4","Saint Charles Borromeo, bishop","Mem"
"11","9","Dedication of the Lateran basilica","Feast-Lord"
"11","10","Saint Leo the Great, pope and doctor","Mem"
"11","11","Saint Martin of Tours, bishop","Mem"
"11","12","Saint Josaphat, bishop and martyr","Mem"
"11","15","Saint Albert the Great, bishop and doctor","OpMem"
"11","16","Saint Gertrude the Great, virgin","OpMem"
"11","16","Saint Margaret of Scotland","OpMem"
"11","17","Saint Elizabeth of Hungary, religious","Mem"
"11","18","Dedication of the basilicas of Saints Peter and Paul, Apostles","OpMem"
"11","21","Presentation of the Blessed Virgin Mary","Mem-Mary"
"11","22","Saint Cecilia","Mem"
"11","23","Saint Clement I, pope and martyr","OpMem"
"11","23","Saint Columban, religious","OpMem"
"11","24","Saint Andrew Dung-Lac and his companions, martyrs","Mem"
"11","25","Saint Catherine of Alexandria","OpMem"
"11","30","Saint Andrew the Apostle","Feast"
"12","3","Saint Francis Xavier, priest","Mem"
"12","4","Saint John Damascene, priest and doctor","OpMem"
"12","6","Saint Nicholas, bishop","OpMem"
"12","7","Saint Ambrose, bishop and doctor","Mem"
"12","8","Immaculate Conception of the Blessed Virgin Mary","Solemnity"
"12","9","Saint Juan Diego","OpMem"
"12","10","Our Lady of Loreto","OpMem","2019"
"12","11","Saint Damasus I, pope","OpMem"
"12","12","Our Lady of Guadalupe","OpMem"
"12","13","Saint Lucy of Syracuse, virgin and martyr","Mem"
"12","14","Saint John of the Cross, priest and doctor","Mem"
"12","21","Saint Peter Canisius, priest and doctor","OpMem"
"12","23","Saint John of Kanty, priest","OpMem"
"12","25","Nativity of the Lord","Solemnity"
"12","26","Saint Stephen, the first martyr","Feast"
"12","27","Saint John the Apostle and evangelist","Feast"
"12","28","Holy Innocents, martyrs","Feast"
"12","29","Saint Thomas Becket, bishop and martyr","OpMem"
"12","31","Saint Sylvester I, pope","OpMem"
"1","3","IN Saint Kuriakose Elias Chavara, priest","OpMem"
"1","14","IN Saint Devasahayam Pillai, martyr","OpMem"
"1","16","IN Saint Joseph Vaz, priest","Mem"
"2","4","IN Saint John de Brito, priest and martyr","Mem"
"2","6","IN Saint Gonsalo Garcia, martyr","Mem"
"2","25","IN Blessed Rani Maria, virgin, martyr","OpMem"
"6","8","IN Blessed Maria Theresa Chiramel, virgin","OpMem"
"7","3","IN Saint Thomas the Apostle","Solemnity-PrincipalPartron-Place"
"7","28","IN Saint Alphonsa of the Immaculate Conception (Alphonsa Muttathupadathu), virgin","Mem"
"8","30","IN Saint Euphrasia, virgin","OpMem"
"9","5","IN Saint Teresa of Calcutta, virgin","Mem"
"10","16","IN Blessed Augustine Thevarparambil, priest","OpMem"
"12","3","IN Saint Francis Xavier, priest","Solemnity-PrincipalPartron-Place"
